Degrees         Distance (m)   
180             0.37
178             0.37
176             0.37
174             0.40
172             0.40
170             0.40
168             0.39
166             0.38
164             0.39
162             0.39
160             0.37
158             0.38
156             0.37
154             0.37
152             0.37
150             0.37
148             0.37
146             0.37
144             0.36
142             0.37
140             0.36
138             0.36
136             0.36
134             0.37
132             0.36
130             0.37
128             0.37
126             0.38
124             0.37
122             0.37
120             0.38
118             0.39
116             0.39
114             0.44
112             0.39
110             0.62
108             0.58
106             0.61
104             0.61
102             0.61
100             0.60
98              0.60
96              0.62
94              0.57
92              0.58
90              0.58
88              0.61
86              0.61
84              0.61
82              0.57
80              0.60
78              0.61
76              0.61
74              0.61
72              0.61
70              0.61
68              0.58
66              0.61
64              0.64
62              0.39
60              0.61
58              0.40
56              0.39
54              0.39
52              0.39
50              0.39
48              0.39
46              0.38
44              0.38
42              0.38
40              0.38
38              0.38
36              0.37
34              0.38
32              0.37
30              0.38
28              0.37
26              0.37
24              0.38
22              0.38
20              0.38
18              0.38
16              0.37
14              0.37
12              0.37
10              0.38
8               0.38
6               0.39
4               0.38
2               0.39
0               0.40
