Degrees         Distance (cm)  
180             28.84
178             27.97
176             27.90
174             27.69
172             26.93
170             26.57
168             26.23
166             26.18
164             25.88
162             25.83
160             25.68
158             25.36
156             25.20
154             25.31
152             25.31
150             25.16
148             25.30
146             25.31
144             25.18
142             25.34
140             25.49
138             25.68
136             25.82
134             25.88
132             26.21
130             26.70
128             26.90
126             28.14
124             27.90
122             27.98
120             28.07
118             28.10
116             38.39
114             47.49
112             32.10
110             41.51
108             44.33
106             45.90
104             51.56
102             56.33
100             76.28
98              92.69
96              69.23
94              63.08
92              44.72
90              50.80
88              58.12
86              47.34
84              43.30
82              37.18
80              56.99
78              59.64
76              50.41
74              58.80
72              47.19
70              28.44
68              28.32
66              28.41
64              28.19
62              28.11
60              28.04
58              27.98
56              27.94
54              27.45
52              27.28
50              26.93
48              26.80
46              26.75
44              26.61
42              26.75
40              26.75
38              26.61
36              26.61
34              26.75
32              26.80
30              27.11
28              27.19
26              27.35
24              27.68
22              27.99
20              27.94
18              28.00
16              28.18
14              30.48
12              28.77
10              27.98
8               27.99
6               27.96
4               29.66
2               28.02
0               28.00

Count: 0
