Degrees         Distance (cm)  
180             62.82
178             130.86
176             139.70
174             141.99
172             119.12
170             142.99
168             189.64
166             170.61
164             107.48
162             131.65
160             141.80
158             140.24
156             99.63
154             76.17
152             92.14
150             89.49
148             56.71
146             76.16
144             65.86
142             73.17
140             79.42
138             79.08
136             81.09
134             82.82
132             74.53
130             81.78
128             81.05
126             74.36
124             70.23
122             74.91
120             77.44
118             81.31
116             98.94
114             89.32
112             104.78
110             148.40
108             140.38
106             108.99
104             79.70
102             73.86
100             68.83
98              68.91
96              58.68
94              51.00
92              56.21
90              54.38
88              55.57
86              54.04
84              74.04
82              80.53
80              80.92
78              72.70
76              83.45
74              121.20
72              176.62
70              133.48
68              153.03
66              176.08
64              138.13
62              93.44
60              57.08
58              75.79
56              59.12
54              57.29
52              56.07
50              55.43
48              55.42
46              54.91
44              53.93
42              45.73
40              40.19
38              42.72
36              53.89
34              54.49
32              54.39
30              54.37
28              54.39
26              54.39
24              54.53
22              54.38
20              54.58
18              54.85
16              54.85
14              54.52
12              54.99
10              54.97
8               54.72
6               52.23
4               48.80
2               49.69
0               52.08
start: 56, end: 62, dist: 0
start: 126, end: 136, dist: -536870912
start: 146, end: 180, dist: 1610612736

Count: 3
