Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             47.67           33.98          
178             51.45           32.80          
176             51.94           31.44          
174             51.38           31.67          
172             47.01           31.31          
170             48.27           31.03          
168             51.78           30.77          
166             54.83           30.78          
164             55.54           30.03          
162             55.73           29.99          
160             48.12           29.97          
158             44.43           29.72          
156             34.26           29.46          
154             33.64           29.92          
152             32.86           29.91          
150             30.58           29.67          
148             32.84           29.67          
146             32.71           29.67          
144             32.49           29.91          
142             31.14           29.92          
140             34.32           29.92          
138             51.22           29.91          
136             65.78           29.97          
134             68.71           30.23          
132             63.60           30.24          
130             67.77           30.51          
128             66.39           31.00          
126             66.14           31.04          
124             64.33           31.85          
122             58.44           31.91          
120             64.48           32.58          
118             62.89           68.72          
116             64.61           67.95          
114             63.79           68.10          
112             63.34           68.09          
110             62.08           68.05          
108             61.04           67.85          
106             59.53           67.84          
104             62.36           67.86          
102             58.56           67.65          
100             62.46           67.81          
98              57.71           67.81          
96              60.24           68.04          
94              63.23           68.02          
92              62.36           67.64          
90              62.56           67.84          
88              62.25           68.29          
86              63.14           68.30          
84              57.57           68.08          
82              63.57           51.86          
80              63.91           51.22          
78              64.55           32.77          
76              65.24           32.25          
74              65.19           31.79          
72              66.02           30.85          
70              66.02           31.01          
68              65.54           30.95          
66              68.78           30.44          
64              69.03           30.17          
62              61.63           29.72          
60              69.44           29.66          
58              70.37           29.85          
56              63.97           29.79          
54              50.21           29.77          
52              33.52           29.49          
50              33.60           29.49          
48              33.00           29.48          
46              32.96           29.49          
44              32.82           29.48          
42              31.33           29.10          
40              32.90           29.25          
38              33.76           29.30          
36              34.45           29.74          
34              37.08           29.51          
32              46.89           29.56          
30              81.67           30.02          
28              85.00           29.84          
26              85.00           30.08          
24              85.00           30.55          
22              85.00           30.60          
20              85.00           30.65          
18              85.00           30.93          
16              85.00           31.64          
14              85.00           31.72          
12              85.00           32.40          
10              85.00           33.81          
8               85.00           59.94          
6               85.00           85.00          
4               85.00           85.00          
2               85.00           85.00          
0               54.07           48.89          
Object#    Angle      Distance   Width     
1          40   20   29.92      20        
2          146  124  29.51      22        

Count: 2
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             52.82           31.20          
178             53.43           31.57          
176             52.61           31.06          
174             55.36           31.06          
172             56.16           30.79          
170             56.96           31.01          
168             54.92           30.29          
166             46.09           30.27          
164             35.90           29.98          
162             32.14           30.21          
160             33.66           30.17          
158             33.07           29.72          
156             33.09           30.36          
154             33.16           30.35          
152             32.98           30.36          
150             30.36           30.36          
148             32.77           30.21          
146             39.64           30.24          
144             58.60           30.76          
142             71.44           31.01          
140             67.37           30.79          
138             66.90           31.02          
136             61.10           31.29          
134             66.83           31.55          
132             65.91           31.86          
130             65.07           33.20          
128             63.12           33.27          
126             63.34           67.16          
124             64.49           66.91          
122             53.96           67.07          
120             62.78           66.81          
118             62.25           66.80          
116             61.58           66.55          
114             58.29           66.74          
112             56.14           66.70          
110             60.52           66.47          
108             61.53           66.47          
106             56.91           66.49          
104             61.10           66.47          
102             61.15           66.47          
100             54.99           66.47          
98              61.79           66.46          
96              61.15           66.48          
94              60.78           66.69          
92              56.08           66.48          
90              61.47           66.74          
88              61.74           66.76          
86              64.14           49.94          
84              63.68           32.16          
82              63.23           31.12          
80              64.50           30.35          
78              65.65           29.88          
76              65.90           29.80          
74              66.63           29.28          
72              65.19           29.51          
70              67.16           29.24          
68              69.49           29.18          
66              68.45           29.19          
64              64.14           28.93          
62              48.70           28.71          
60              34.12           28.72          
58              29.18           28.69          
56              31.04           28.68          
54              31.04           28.93          
52              31.46           28.72          
50              35.23           28.72          
48              49.42           29.17          
46              76.88           29.00          
44              85.00           29.00          
42              80.29           29.27          
40              85.00           29.31          
38              85.00           29.57          
36              85.00           30.04          
34              85.00           30.09          
32              85.00           30.57          
30              85.00           31.49          
28              85.00           79.86          
26              85.00           80.08          
24              85.00           85.00          
22              85.00           85.00          
20              85.00           85.00          
18              85.00           85.00          
16              85.00           85.00          
14              85.00           85.00          
12              85.00           83.53          
10              85.00           85.00          
8               85.00           84.25          
6               85.00           85.00          
4               85.00           85.00          
2               85.00           85.00          
0               43.73           48.21          
Object#    Angle      Distance   Width     
1          34   14   30.24      20        
2          130  116  28.72      14        

Count: 2
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             48.83           28.48          
178             53.82           28.43          
176             53.43           28.41          
174             53.22           28.39          
172             55.27           28.40          
170             47.28           28.35          
168             36.39           28.35          
166             29.52           28.34          
164             29.90           28.32          
162             29.88           28.30          
160             29.93           28.29          
158             29.33           28.30          
156             33.36           28.32          
154             48.89           28.34          
152             56.93           28.37          
150             62.79           28.37          
148             64.73           28.49          
146             62.83           28.52          
144             67.70           28.59          
142             71.30           29.08          
140             71.44           29.57          
138             70.45           30.30          
136             68.26           30.35          
134             61.91           69.60          
132             67.15           69.26          
130             65.90           69.62          
128             63.61           69.11          
126             64.17           68.56          
124             63.34           68.12          
122             64.02           68.47          
120             64.49           68.25          
118             63.92           68.19          
116             62.56           68.16          
114             62.13           67.94          
