Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             60.68           27.99          
178             57.80           28.33          
176             59.64           46.59          
174             57.41           28.65          
172             58.10           28.16          
170             57.99           28.08          
168             58.39           28.05          
166             58.52           28.26          
164             57.70           28.17          
162             58.19           28.34          
160             58.58           28.30          
158             57.70           28.24          
156             58.69           27.77          
154             55.37           27.72          
152             50.20           27.73          
150             30.97           27.56          
148             25.94           27.19          
146             26.99           27.19          
144             27.07           27.44          
142             26.27           27.19          
140             26.39           27.19          
138             27.90           27.43          
136             25.58           27.19          
134             28.41           27.47          
132             31.98           27.45          
130             43.81           27.72          
128             48.27           27.76          
126             48.28           28.02          
124             54.65           28.28          
122             48.10           28.33          
120             55.01           28.17          
118             56.95           28.00          
116             49.24           28.05          
114             56.65           28.09          
112             50.32           28.80          
110             56.56           28.89          
108             57.80           29.80          
106             58.10           29.65          
104             57.80           33.64          
102             59.23           58.03          
100             52.64           57.81          
98              57.14           58.26          
96              58.93           60.04          
94              58.19           58.15          
92              58.88           57.67          
90              51.67           52.41          
88              57.33           57.87          
86              55.91           56.96          
84              56.00           57.09          
82              56.09           57.06          
80              56.85           54.91          
78              55.91           57.85          
76              54.87           57.40          
74              49.99           57.38          
72              54.66           57.96          
70              55.82           57.65          
68              55.64           58.16          
66              50.62           57.57          
64              54.12           42.60          
62              50.61           42.63          
60              54.12           28.25          
58              54.84           28.31          
56              51.65           28.27          
54              54.92           28.23          
52              51.70           28.15          
50              55.64           28.13          
48              55.82           27.42          
46              56.95           26.95          
44              52.85           26.71          
42              34.57           26.71          
40              26.89           26.65          
38              25.29           26.66          
36              24.95           26.65          
34              25.33           26.70          
32              35.21           26.71          
30              54.84           26.71          
28              54.55           26.76          
26              63.80           26.97          
24              64.73           27.13          
22              60.30           27.95          
20              64.93           27.76          
18              58.91           28.23          
16              63.68           28.28          
14              64.95           28.33          
12              60.19           27.98          
10              66.57           28.05          
8               66.14           28.12          
6               61.47           28.19          
4               67.57           74.55          
2               67.13           74.61          
